frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,6.936,4.152,37449,2670,144,144,53
2,7.0,2.589,37449,2670,144,144,53
3,7.1,2.767,37449,2666,144,144,53
4,7.2,2.654,37449,2667,144,144,53
5,7.3,2.813,37449,2666,144,144,53
6,7.4,2.925,37449,2670,144,144,53
7,7.5,2.959,37449,2673,144,144,52
8,7.6,3.086,37449,2674,144,144,53
9,7.7,3.139,37449,2668,144,144,53
10,7.8,2.72,37449,2669,144,144,53
11,7.9,2.803,37449,2674,144,144,53
12,8.0,2.904,37449,2676,144,144,53
13,8.1,2.745,37449,2669,144,144,53
14,8.2,3.128,37449,2672,144,144,53
15,8.3,2.641,37449,2671,144,144,53
16,8.4,2.945,37449,2671,144,144,53
17,8.5,2.681,37449,2668,144,144,53
18,8.6,2.967,37449,2671,144,144,53
19,8.7,2.742,37449,2667,144,144,53
20,8.8,3.052,37449,2673,144,144,53
21,8.9,2.955,37449,2666,144,144,53
22,9.0,2.795,37449,2667,144,144,53
23,9.1,2.68,37449,2667,144,144,53
24,9.2,2.872,37449,2663,144,144,53
25,9.3,2.906,37449,2671,144,144,52
26,9.4,3.593,37449,2667,144,144,52
27,9.5,2.899,37449,2671,144,144,53
28,9.6,2.943,37449,2673,144,144,53
29,9.7,2.958,37449,2671,144,144,53
30,9.8,3.035,37449,2672,144,144,53
31,9.9,2.563,37449,2673,144,144,52
32,10.0,2.569,37449,2677,144,144,53
33,10.1,2.987,37449,2671,144,144,53
34,10.2,3.196,37449,2673,144,144,53
35,10.3,3.519,37449,2667,144,144,53
36,10.4,2.736,37449,2671,144,144,53
37,10.5,2.751,37449,2673,144,144,54
38,10.6,2.799,37449,2675,144,144,53
39,10.7,2.676,37449,2668,144,144,53
40,10.8,2.659,37449,2672,144,144,54
41,10.9,3.028,37449,2670,144,144,53
42,11.0,2.805,37449,2663,144,144,54
43,11.1,2.948,37449,2668,144,144,53
44,11.2,2.852,37449,2675,144,144,53
45,11.3,2.753,37449,2670,144,144,53
46,11.4,2.812,37449,2665,144,144,53
47,11.5,2.757,37449,2671,144,144,53
48,11.6,3.414,37449,2669,144,144,53
49,11.7,2.826,37449,2668,144,144,53
50,11.8,2.827,37449,2668,144,144,52
51,11.9,2.972,37449,2667,144,144,53
52,12.0,3.088,37449,2664,144,144,53
53,12.1,2.794,37449,2670,144,144,53
54,12.2,2.825,37449,2673,144,144,53
55,12.3,2.792,37449,2667,144,144,53
56,12.4,3.084,37449,2671,144,144,53
57,12.5,2.815,37449,2668,144,144,53
58,12.6,3.28,37449,2670,144,144,53
59,12.7,2.938,37449,2671,144,144,54
60,12.8,2.84,37449,2668,144,144,53
61,12.9,2.968,37449,2670,144,144,53
62,13.0,2.859,37449,2667,144,144,53
63,13.1,3.102,37449,2671,144,144,54
64,13.2,2.767,37449,2670,144,144,53
65,13.3,2.931,37449,2666,144,144,53
66,13.4,3.195,37449,2672,144,144,53
67,13.5,3.296,37449,2676,144,144,52
68,13.6,3.234,37449,2674,144,144,53
69,13.7,2.855,37449,2674,144,144,54
70,13.8,2.77,37449,2669,144,144,53
71,13.9,3.054,37449,2671,144,144,53
72,14.0,2.807,37449,2673,144,144,53
73,14.1,2.867,37449,2671,144,144,53
74,14.2,2.833,37449,2671,144,144,53
75,14.3,3.024,37449,2673,144,144,53
76,14.4,2.758,37449,2674,144,144,53
77,14.5,2.791,37449,2669,144,144,54
78,14.6,2.664,37449,2674,144,144,53
79,14.7,2.911,37449,2667,144,144,53
80,14.8,2.752,37449,2672,144,144,53
81,14.9,3.73,37449,2668,144,144,53
82,15.0,3.163,37449,2669,144,144,53
