frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,80.6,6.033,31633,19003,19003,19003,3172
2,80.7,6.375,31488,18859,18859,18859,3200
3,80.8,6.716,31351,18722,18722,18722,3260
4,80.9,6.528,31328,18699,18699,18699,3359
5,81.0,6.418,31757,19128,19128,19128,3816
6,81.1,7.214,31810,19181,19181,19181,4188
7,81.2,6.494,31804,19175,19175,19175,4435
8,81.3,6.569,31632,19003,19003,19003,4588
9,81.4,6.247,31414,18785,18785,18783,4708
10,81.5,6.735,31155,18526,18526,18526,4719
11,81.6,6.097,30851,18222,18222,18222,4656
12,81.7,5.742,30567,17938,17896,17895,4516
13,81.8,6.877,30463,17834,17685,17685,4482
14,81.9,6.588,30295,17666,17666,17663,4515
15,82.0,6.232,29906,17277,17277,17231,4298
16,82.1,5.927,28539,15910,15910,15633,3664
17,82.2,5.206,27302,14673,14673,14620,3250
18,82.3,4.84,26035,13406,13406,13351,2623
19,82.4,5.178,24418,11789,11789,11789,2150
20,82.5,4.221,23699,11070,11070,11070,2099
21,82.6,5.819,25646,13017,13017,13017,2934
22,82.7,6.173,27714,15085,15085,15085,3628
23,82.8,5.842,27201,14572,14572,14550,3467
24,82.9,4.963,26111,13482,13482,13482,3184
25,83.0,4.98,26408,13779,13779,13779,3266
26,83.1,5.946,26863,14234,14234,14234,3434
27,83.2,5.253,26853,14224,14224,14224,3461
28,83.3,5.571,26778,14149,14149,14149,3433
29,83.4,5.026,26836,14207,14207,14207,3425
30,83.5,6.109,26954,14325,14325,14325,3476
31,83.6,5.327,26938,14309,14309,14309,3487
32,83.7,5.387,26975,14346,14346,14346,3511
33,83.8,5.337,27081,14452,14452,14452,3515
34,83.9,5.225,27087,14458,14458,14458,3498
35,84.0,5.025,26390,13761,13761,13761,3345
36,84.1,4.9,25170,12541,12541,12541,3093
37,84.2,5.252,24643,12014,12014,12014,2971
38,84.3,5.396,24569,11940,11940,11940,2923
39,84.4,4.821,23858,11229,11229,11229,2769
40,84.5,4.563,22472,9843,9843,9843,2531
41,84.6,4.601,21560,8931,8931,8931,2392
42,84.7,4.224,21401,8772,8772,8772,2356
43,84.8,4.685,21594,8965,8965,8965,2357
44,84.9,4.033,21813,9184,9184,9184,2366
45,85.0,5.008,22265,9636,9636,9508,2505
46,85.1,4.698,22890,10261,10261,10058,2667
47,85.2,4.386,23426,10797,10797,10797,2811
48,85.3,5.045,23669,11040,11040,11040,2852
49,85.4,4.619,23875,11246,11246,11246,2858
50,85.5,4.772,24204,11575,11575,11575,2947
51,85.6,5.33,24799,12170,12170,12170,3113
52,85.7,4.819,25443,12814,12814,12814,3301
53,85.8,4.776,25923,13294,13294,13294,3394
54,85.9,5.79,26249,13620,13620,13620,3458
55,86.0,5.543,26610,13981,13981,13981,3516
56,86.1,5.334,27206,14577,14577,14577,3700
57,86.2,6.028,27688,15059,15059,15059,3863
58,86.3,6.784,28084,15455,15455,15455,3962
59,86.4,5.589,28275,15646,15646,15646,4041
60,86.5,6.612,28416,15787,15787,15787,4102
61,86.6,5.129,28514,15885,15885,15885,4157
62,86.7,5.647,28653,16024,16024,16024,4240
63,86.8,6.207,28824,16195,16195,16195,4331
64,86.9,5.823,28957,16328,16328,16328,4379
65,87.0,5.423,29033,16404,16404,16404,4377
66,87.1,6.188,29166,16537,16537,16537,4425
67,87.2,6.505,29335,16706,16706,16706,4517
68,87.3,6.126,29535,16906,16906,16906,4604
69,87.4,6.477,29662,17033,17033,17033,4621
70,87.5,5.534,29754,17125,17125,17125,4642
71,87.6,7.236,29822,17193,17193,17193,4633
72,87.7,6.459,29934,17306,17306,17306,4650
73,87.8,5.941,30050,17421,17421,17421,4674
74,87.9,5.812,30240,17611,17611,17611,4668
75,88.0,5.961,30355,17726,17726,17726,4573
76,88.1,6.103,30360,17731,17731,17731,4539
77,88.2,6.407,30347,17718,17718,17718,4554
78,88.3,5.651,30320,17691,17691,17691,4570
79,88.4,5.775,30289,17660,17660,17660,4556
80,88.5,5.551,30288,17659,17659,17659,4550
81,88.6,6.586,30281,17652,17652,17652,4515
82,88.7,6.123,30307,17678,17678,17678,4478
83,88.8,7.698,30334,17705,17705,17705,4508
84,88.9,6.979,30375,17746,17746,17746,4499
85,89.0,6.338,30425,17796,17796,17796,4517
86,89.1,6.73,30459,17830,17830,17830,4530
87,89.2,6.481,30502,17873,17873,17873,4517
88,89.3,5.883,30516,17887,17887,17887,4527
89,89.4,6.331,30537,17908,17908,17908,4528
90,89.5,7.488,30536,17907,17907,17907,4513
91,89.6,6.6,30539,17910,17910,17910,4450
92,89.7,6.601,30549,17920,17920,17920,4381
