frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,10.6,3.672,37191,2412,33,33,13
2,10.7,3.002,37191,2413,33,33,13
3,10.8,3.426,37191,2410,33,33,13
4,10.9,2.991,37191,2414,33,33,13
5,11.0,3.141,37191,2417,33,33,13
6,11.1,3.452,37191,2417,33,33,13
7,11.2,2.952,37191,2424,33,33,13
8,11.3,3.19,37191,2413,33,33,13
9,11.4,3.036,37191,2416,33,33,13
10,11.5,3.071,37191,2413,33,33,13
11,11.6,3.452,37191,2409,33,33,13
12,11.7,3.64,37191,2409,33,33,13
13,11.8,3.066,37191,2418,33,33,13
14,11.9,3.072,37191,2418,33,33,13
15,12.0,3.467,37191,2412,33,33,13
16,12.1,3.215,37191,2410,33,33,13
17,12.2,3.502,37191,2413,33,33,13
18,12.3,3.389,37191,2413,33,33,13
19,12.4,3.882,37191,2416,33,33,13
20,12.5,3.556,37191,2412,33,33,13
21,12.6,3.293,37191,2416,33,33,13
22,12.7,3.437,37191,2418,33,33,13
23,12.8,3.085,37191,2409,33,33,13
24,12.9,3.385,37191,2414,33,33,13
25,13.0,2.881,37191,2418,33,33,13
26,13.1,3.252,37191,2408,33,33,13
27,13.2,2.899,37191,2415,33,33,13
28,13.3,3.069,37191,2415,33,33,13
29,13.4,3.316,37191,2412,33,33,13
30,13.5,2.908,37191,2416,33,33,13
31,13.6,3.043,37191,2413,33,33,13
32,13.7,3.53,37191,2420,33,33,13
33,13.8,3.254,37191,2410,33,33,13
34,13.9,3.573,37191,2408,33,33,13
35,14.0,3.915,37191,2414,33,33,13
36,14.1,2.731,37191,2417,33,33,13
37,14.2,3.304,37191,2412,33,33,13
38,14.3,3.56,37191,2408,33,33,13
39,14.4,3.069,37191,2411,33,33,13
40,14.5,3.18,37191,2414,33,33,13
41,14.6,3.351,37191,2413,33,33,13
42,14.7,3.443,37191,2411,33,33,13
43,14.8,2.897,37191,2412,33,33,13
44,14.9,3.008,37191,2412,33,33,13
45,15.0,3.235,37191,2412,33,33,13
46,15.1,3.159,37191,2411,33,33,13
47,15.2,3.133,37191,2416,33,33,13
48,15.3,3.194,37191,2418,33,33,13
49,15.4,2.969,37191,2418,33,33,13
50,15.5,2.968,37191,2418,33,33,13
51,15.6,3.069,37191,2413,33,33,13
52,15.7,2.778,37191,2420,33,33,13
53,15.8,2.882,37191,2420,33,33,13
54,15.9,2.986,37191,2414,33,33,13
55,16.0,2.613,37191,2416,33,33,13
56,16.1,2.833,37191,2416,33,33,13
57,16.2,3.598,37191,2413,33,33,13
58,16.3,3.037,37191,2413,33,33,13
59,16.4,3.011,37191,2418,33,33,13
60,16.5,3.053,37191,2414,33,33,13
61,16.6,2.653,37191,2418,33,33,13
62,16.7,2.853,37191,2419,33,33,13
63,16.8,3.552,37191,2416,33,33,13
64,16.9,2.861,37191,2414,33,33,13
65,17.0,3.001,37191,2414,33,33,13
66,17.1,3.2,37191,2412,33,33,13
67,17.2,3.665,37191,2411,33,33,13
68,17.3,3.764,37191,2414,33,33,13
69,17.4,2.857,37191,2416,33,33,13
70,17.5,2.981,37191,2413,33,33,13
71,17.6,2.962,37191,2414,33,33,13
72,17.7,2.826,37191,2410,33,33,13
73,17.8,2.913,37191,2416,33,33,13
74,17.9,3.113,37191,2418,33,33,13
75,18.0,3.053,37191,2413,33,33,13
76,18.1,3.065,37191,2414,33,33,13
77,18.2,3.191,37191,2413,33,33,13
78,18.3,3.547,37191,2418,33,33,13
79,18.4,3.398,37191,2413,33,33,13
80,18.5,3.578,37191,2418,33,33,13
81,18.6,3.327,37191,2416,33,33,13
82,18.7,3.106,37191,2414,33,33,13
83,18.8,4.007,37191,2415,33,33,13
84,18.9,3.365,37191,2417,33,33,13
85,19.0,3.048,37191,2410,33,33,13
86,19.1,3.105,37191,2409,33,33,13
87,19.2,3.033,37191,2414,33,33,13
88,19.3,3.732,37191,2409,33,33,13
89,19.4,3.051,37191,2411,33,33,13
90,19.5,2.927,37191,2414,33,33,13
91,19.6,3.045,37191,2416,33,33,13
92,19.7,2.963,37191,2413,33,33,13
