frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,57.8,6.6,31226,18597,18597,18597,3136
2,57.9,6.265,31085,18456,18456,18456,3174
3,58.0,6.062,30955,18326,18326,18326,3203
4,58.1,6.104,30835,18206,18206,18206,3260
5,58.2,6.206,30710,18081,18081,18081,3300
6,58.3,6.383,30767,18138,18138,18138,3409
7,58.4,6.384,31553,18924,18924,18924,3747
8,58.5,6.018,31657,19028,19028,19028,3976
9,58.6,7.269,31848,19219,19219,19219,4246
10,58.7,6.985,31857,19228,19228,19228,4395
11,58.8,6.75,31767,19138,19138,19138,4587
12,58.9,6.199,31679,19050,19050,19050,4540
13,59.0,6.292,31459,18830,18830,18830,4526
14,59.1,5.856,31256,18627,18627,18625,4443
15,59.2,6.102,31096,18467,18467,18459,4382
16,59.3,6.336,30884,18255,18255,18253,4367
17,59.4,5.96,30528,17899,17899,17725,4145
18,59.5,5.769,29805,17176,17176,16961,3682
19,59.6,5.905,28558,15929,15929,15858,3303
20,59.7,5.271,26695,14066,14066,13980,2727
21,59.8,5.436,24573,11944,11944,11926,2165
22,59.9,5.163,24478,11849,11849,11849,2258
23,60.0,5.271,27255,14626,14626,14032,3091
24,60.1,5.606,28683,16054,16054,15224,3396
25,60.2,6.419,27452,14823,14823,14823,3332
26,60.3,6.123,26637,14008,14008,14008,3122
27,60.4,5.074,27329,14700,14700,14700,3316
28,60.5,6.144,27620,14991,14991,14991,3455
29,60.6,5.494,27373,14744,14744,14744,3376
30,60.7,5.699,27317,14688,14688,14688,3365
31,60.8,5.613,27343,14714,14714,14714,3369
32,60.9,5.391,27375,14746,14746,14746,3409
33,61.0,6.0,27418,14789,14789,14789,3448
34,61.1,6.474,27499,14870,14870,14870,3468
35,61.2,5.434,27545,14916,14916,14916,3445
36,61.3,5.445,27581,14952,14952,14952,3429
37,61.4,5.557,27590,14961,14961,14961,3434
38,61.5,5.963,27616,14987,14987,14987,3430
39,61.6,5.536,27679,15050,15050,15050,3456
40,61.7,5.5,27730,15101,15101,15101,3442
41,61.8,5.67,27755,15126,15126,15126,3409
42,61.9,5.382,27818,15189,15189,15189,3390
43,62.0,5.917,27853,15224,15224,15224,3388
44,62.1,5.455,27924,15295,15295,15295,3378
