frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,20.4,2.783,35685,910,111,111,84
2,20.5,2.492,35685,913,111,111,85
3,20.6,2.664,35685,910,111,111,84
4,20.7,2.815,35685,911,111,111,84
5,20.8,3.125,35685,909,111,111,85
6,20.9,2.452,35685,906,111,111,84
7,21.0,4.064,35685,901,111,111,84
8,21.1,3.119,35685,908,111,111,84
9,21.2,3.557,35685,912,111,111,84
10,21.3,2.688,35685,913,111,111,83
11,21.4,2.51,35685,907,111,111,85
12,21.5,2.8,35685,907,111,111,84
13,21.6,2.422,35685,907,111,111,85
14,21.7,3.17,35685,913,111,111,85
15,21.8,3.511,35685,909,111,111,85
16,21.9,4.0,35685,915,111,111,84
17,22.0,2.467,35685,904,111,111,85
18,22.1,2.671,35685,908,111,111,85
19,22.2,2.569,35685,903,111,111,85
20,22.3,3.338,35685,915,111,111,84
21,22.4,2.679,35685,911,111,111,84
22,22.5,2.794,35685,908,111,111,84
23,22.6,2.7,35685,907,111,111,84
24,22.7,2.483,35685,905,111,111,85
25,22.8,4.283,35685,910,111,111,85
26,22.9,4.204,35685,911,111,111,84
27,23.0,3.377,35685,903,111,111,85
28,23.1,3.819,35685,913,111,111,84
29,23.2,3.135,35685,907,111,111,85
30,23.3,3.969,35685,906,111,111,84
31,23.4,3.859,35685,902,111,111,84
32,23.5,2.505,35685,912,111,111,84
33,23.6,3.901,35685,914,111,111,84
34,23.7,2.462,35685,907,111,111,84
35,23.8,2.956,35685,905,111,111,84
36,23.9,2.628,35685,906,111,111,85
37,24.0,2.893,35685,909,111,111,84
38,24.1,2.835,35685,910,111,111,84
39,24.2,2.678,35685,907,111,111,84
40,24.3,2.497,35685,908,111,111,84
41,24.4,2.874,35685,914,111,111,85
42,24.5,3.147,35685,915,111,111,85
43,24.6,2.443,35685,906,111,111,84
44,24.7,3.273,35685,911,111,111,84
45,24.8,3.148,35685,908,111,111,84
46,24.9,2.621,35685,905,111,111,84
47,25.0,2.865,35685,906,111,111,84
48,25.1,2.516,35685,908,111,111,84
49,25.2,3.991,35685,910,111,111,84
50,25.3,2.593,35685,907,111,111,85
51,25.4,2.56,35685,902,111,111,85
52,25.5,2.515,35685,908,111,111,85
53,25.6,2.934,35685,913,111,111,85
54,25.7,3.144,35685,908,111,111,84
55,25.8,3.329,35685,914,111,111,83
56,25.9,2.616,35685,907,111,111,84
57,26.0,3.061,35685,903,111,111,84
58,26.1,2.718,35685,909,111,111,84
59,26.2,2.717,35685,911,111,111,85
60,26.3,2.892,35685,908,111,111,85
61,26.4,2.548,35685,911,111,111,85
62,26.5,2.645,35685,913,111,111,85
63,26.6,2.834,35685,907,111,111,84
64,26.7,2.602,35685,910,111,111,84
65,26.8,2.716,35685,912,111,111,84
66,26.9,2.615,35685,903,111,111,84
67,27.0,3.059,35685,909,111,111,84
68,27.1,2.909,35685,910,111,111,84
69,27.2,2.627,35685,909,111,111,84
70,27.3,2.766,35685,911,111,111,84
71,27.4,2.667,35685,899,111,111,84
72,27.5,2.691,35685,912,111,111,85
73,27.6,2.699,35685,910,111,111,84
74,27.7,2.589,35685,905,111,111,84
75,27.8,2.572,35685,906,111,111,84
76,27.9,2.602,35685,906,111,111,84
77,28.0,2.678,35685,909,111,111,85
78,28.1,3.246,35685,902,111,111,85
79,28.2,2.621,35685,912,111,111,85
80,28.3,2.633,35685,906,111,111,84
81,28.4,2.527,35685,912,111,111,85
82,28.5,2.949,35685,904,111,111,85
83,28.6,2.758,35685,911,111,111,85
84,28.7,4.289,35685,908,111,111,84
85,28.8,2.684,35685,908,111,111,84
86,28.9,2.878,35685,915,111,111,84
87,29.0,2.65,35685,907,111,111,84
88,29.1,3.337,35685,906,111,111,84
89,29.2,2.694,35685,914,111,111,84
90,29.3,2.536,35685,912,111,111,85
91,29.4,2.796,35685,908,111,111,84
92,29.5,2.683,35685,904,111,111,85
93,29.6,2.76,35685,903,111,111,85
94,29.7,2.55,35685,909,111,111,84
95,29.8,2.642,35685,906,111,111,85
96,29.9,2.537,35685,914,111,111,83
97,30.0,2.816,35685,906,111,111,84
98,30.1,2.604,35685,907,111,111,85
99,30.2,2.497,35685,908,111,111,84
100,30.3,2.712,35685,909,111,111,85
101,30.4,2.524,35685,912,111,111,84
102,30.5,2.483,35685,911,111,111,84
103,30.6,3.947,35685,912,111,111,85
104,30.7,2.598,35685,901,111,111,85
105,30.8,2.637,35685,908,111,111,84
106,30.9,2.759,35685,909,111,111,84
107,31.0,2.822,35685,909,111,111,84
108,31.1,2.997,35685,911,111,111,84
109,31.2,2.618,35685,908,111,111,84
110,31.3,2.622,35685,909,111,111,85
111,31.4,2.487,35685,907,111,111,84
112,31.5,2.969,35685,901,111,111,84
113,31.6,2.588,35685,905,111,111,84
114,31.7,2.733,35685,908,111,111,84
115,31.8,2.66,35685,914,111,111,84
116,31.9,2.515,35685,903,111,111,84
117,32.0,2.537,35685,905,111,111,84
118,32.1,2.647,35685,903,111,111,85
119,32.2,3.337,35685,899,111,111,84
120,32.3,2.478,35685,913,111,111,85
121,32.4,2.488,35685,908,111,111,84
122,32.5,2.53,35685,915,111,111,84
123,32.6,3.261,35685,912,111,111,84
124,32.7,2.595,35685,914,111,111,85
125,32.8,2.563,35685,907,111,111,84
126,32.9,2.614,35685,910,111,111,85
127,33.0,2.499,35685,908,111,111,84
128,33.1,2.527,35685,911,111,111,85
129,33.2,2.966,35685,914,111,111,85
130,33.3,2.518,35685,903,111,111,85
131,33.4,2.52,35685,911,111,111,84
132,33.5,2.497,35685,912,111,111,84
133,33.6,2.721,35685,907,111,111,83
134,33.7,2.531,35685,906,111,111,84
135,33.8,2.658,35685,907,111,111,85
136,33.9,2.634,35685,908,111,111,85
137,34.0,2.672,35685,906,111,111,83
138,34.1,2.724,35685,908,111,111,84
139,34.2,2.654,35685,906,111,111,84
140,34.3,2.544,35685,908,111,111,84
141,34.4,2.693,35685,911,111,111,83
142,34.5,2.523,35685,912,111,111,85
143,34.6,2.582,35685,904,111,111,84
144,34.7,2.49,35685,912,111,111,84
145,34.8,2.557,35685,915,111,111,84
146,34.9,2.939,35685,903,111,111,85
147,35.0,2.824,35685,909,111,111,84
148,35.1,4.175,35685,915,111,111,84
149,35.2,3.53,35685,908,111,111,86
150,35.3,3.294,35685,906,111,111,85
151,35.4,2.839,35685,905,111,111,84
152,35.5,2.904,35685,904,111,111,85
153,35.6,2.919,35685,909,111,111,84
154,35.7,2.83,35685,916,111,111,84
155,35.8,2.913,35685,904,111,111,84
156,35.9,3.215,35685,906,111,111,84
157,36.0,2.775,35685,910,111,111,84
158,36.1,2.993,35685,913,111,111,84
159,36.2,2.763,35685,914,111,111,84
