frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,685.7,5.83,37570,2794,141,141,78
2,685.8,4.109,37570,2796,141,141,80
3,685.9,3.757,37570,2797,141,141,78
4,686.0,3.97,37570,2793,141,141,78
5,686.1,3.666,37570,2799,141,141,78
6,686.2,3.589,37570,2788,141,141,78
7,686.3,3.656,37570,2786,141,141,78
8,686.4,3.449,37570,2796,141,141,76
9,686.5,3.411,37570,2791,141,141,77
10,686.6,3.321,37570,2796,141,141,78
11,686.7,4.708,37570,2794,141,141,79
12,686.8,3.987,37570,2795,141,141,77
13,686.9,3.891,37570,2797,141,141,77
14,687.0,4.058,37570,2792,141,141,80
15,687.1,4.439,37570,2793,141,141,78
16,687.2,4.107,37570,2789,141,141,79
17,687.3,3.986,37570,2796,141,141,78
18,687.4,3.682,37570,2791,141,141,78
19,687.5,3.596,37570,2795,141,141,81
20,687.6,3.729,37570,2792,141,141,78
21,687.7,4.06,37570,2795,141,141,77
22,687.8,3.405,37570,2792,141,141,76
23,687.9,4.659,37570,2796,141,141,79
24,688.0,4.018,37570,2792,141,141,78
25,688.1,4.259,37570,2793,141,141,77
26,688.2,4.021,37570,2798,141,141,78
27,688.3,3.581,37570,2792,141,141,78
28,688.4,3.795,37570,2796,141,141,80
29,688.5,3.381,37570,2799,141,141,80
30,688.6,4.281,37570,2798,141,141,77
31,688.7,3.977,37570,2793,141,141,78
32,688.8,4.253,37570,2790,141,141,79
33,688.9,3.491,37570,2790,141,141,79
34,689.0,3.892,37570,2791,141,141,80
35,689.1,4.3,37570,2798,141,141,79
36,689.2,3.567,37570,2796,141,141,78
37,689.3,3.493,37570,2793,141,141,78
38,689.4,3.883,37570,2796,141,141,78
39,689.5,3.705,37570,2792,141,141,78
40,689.6,3.702,37570,2794,141,141,78
41,689.7,3.948,38074,2805,141,141,77
42,689.8,4.393,46086,3496,354,354,121
43,689.9,5.516,45825,5848,4199,4199,265
44,690.0,6.563,45459,10114,8799,8799,405
45,690.1,8.127,45009,17048,16164,16164,586
46,690.2,10.741,44543,31913,31339,31339,730
47,690.3,9.738,44095,31466,31124,31124,839
48,690.4,10.155,43695,31066,30889,30889,914
49,690.5,11.366,43328,30699,30647,30647,980
50,690.6,9.799,42973,30344,30331,30331,1043
51,690.7,11.41,42609,29981,29978,29978,1119
52,690.8,10.829,42224,29595,29595,29595,1184
53,690.9,9.995,41824,29195,29195,29195,1259
54,691.0,10.032,41431,28802,28802,28802,1302
55,691.1,12.463,41037,28408,28408,28408,1366
56,691.2,9.426,40635,28006,28006,28006,1427
57,691.3,10.159,40239,27610,27610,27610,1495
58,691.4,11.653,39852,27223,27223,27223,1556
59,691.5,8.666,39451,26822,26822,26822,1598
60,691.6,10.166,39047,26418,26418,26418,1667
61,691.7,10.008,38649,26021,26021,26021,1734
62,691.8,9.226,38253,25624,25624,25624,1807
63,691.9,9.518,37850,25221,25221,25221,1853
64,692.0,9.363,37474,24844,24844,24844,1922
65,692.1,8.745,37087,24458,24458,24458,1995
66,692.2,8.283,36724,24095,24095,24095,2066
67,692.3,8.003,36368,23739,23739,23739,2133
68,692.4,9.611,36041,23412,23412,23412,2202
69,692.5,8.007,35726,23097,23097,23097,2266
70,692.6,7.968,35427,22798,22798,22798,2324
71,692.7,7.945,35132,22503,22503,22503,2378
72,692.8,8.63,34851,22222,22222,22222,2452
73,692.9,8.043,34575,21946,21946,21946,2514
74,693.0,7.739,34323,21694,21694,21694,2567
75,693.1,8.146,34070,21440,21440,21440,2629
76,693.2,7.788,33834,21205,21205,21205,2682
77,693.3,7.874,33599,20970,20970,20970,2748
78,693.4,8.08,33379,20750,20750,20750,2813
79,693.5,7.689,33158,20529,20529,20529,2856
80,693.6,8.912,32963,20334,20334,20334,2914
81,693.7,8.771,32908,20279,20279,20279,3053
82,693.8,8.259,33367,20738,20738,20738,3438
83,693.9,8.046,33226,20597,20597,20597,3648
84,694.0,8.341,33119,20490,20490,20490,3938
85,694.1,8.573,32932,20303,20303,20303,4132
86,694.2,8.268,32705,20076,20076,20074,4351
87,694.3,7.882,32391,19762,19762,19761,4495
88,694.4,7.368,31974,19345,19345,19284,4582
89,694.5,7.795,31605,18976,18976,18974,4487
90,694.6,7.216,31388,18759,18731,18728,4491
91,694.7,7.466,31249,18620,18620,18611,4517
92,694.8,7.668,30951,18322,18322,18278,4371
93,694.9,7.353,29802,17173,17173,17141,3857
94,695.0,6.349,28385,15756,15756,12758,2071
95,695.1,6.299,26860,14231,14231,12679,2030
96,695.2,6.564,25411,12782,12782,12743,2091
97,695.3,6.2,25374,12745,12745,12745,2197
98,695.4,5.905,27271,14642,14642,14642,3084
99,695.5,6.337,28547,15918,15918,15918,3654
100,695.6,6.64,28019,15390,15390,15388,3477
101,695.7,7.485,27453,14824,14824,14824,3289
102,695.8,6.136,27667,15038,15038,15038,3417
103,695.9,6.416,27896,15267,15267,15267,3496
104,696.0,6.526,27873,15244,15244,15244,3524
105,696.1,6.202,27775,15147,15147,15147,3496
106,696.2,6.499,27382,14753,14753,14753,3372
107,696.3,6.159,26387,13758,13758,13758,3205
108,696.4,6.007,25507,12878,12860,12860,3020
109,696.5,5.997,25156,12527,12527,12527,2917
110,696.6,6.217,24991,12363,12363,12363,2868
111,696.7,5.605,24101,11472,11472,11472,2723
112,696.8,5.115,23098,10469,10469,10469,2593
113,696.9,5.057,22945,10316,10316,10316,2651
114,697.0,5.373,23081,10452,10450,10450,2640
115,697.1,5.154,23185,10556,10556,10556,2584
116,697.2,5.282,23496,10867,10867,10867,2648
117,697.3,5.402,24081,11452,11452,11452,2810
118,697.4,5.887,24766,12137,12137,12137,2978
119,697.5,5.892,25285,12656,12656,12656,3100
120,697.6,5.819,25516,12887,12887,12887,3091
121,697.7,6.478,25770,13142,13142,13142,3113
122,697.8,6.295,26340,13711,13711,13711,3262
123,697.9,6.229,27012,14383,14383,14383,3454
124,698.0,6.729,27528,14899,14899,14898,3574
125,698.1,6.334,27679,15050,15050,15050,3621
126,698.2,6.588,27873,15244,15244,15244,3656
127,698.3,7.013,28056,15427,15427,15427,3733
128,698.4,6.556,28371,15742,15742,15742,3869
