row,col,x_m,y_m,height_mean_m,height_std_m,height_min_m,height_max_m,sample_count
1,193,25.390625,-49.609375,1.296533,0.0,1.296533,1.296533,1
1,237,42.578125,-49.609375,4.747839,0.0,4.747839,4.747839,1
1,242,44.53125,-49.609375,5.491229,0.0,5.491229,5.491229,1
1,243,44.921875,-49.609375,5.340983,0.0,5.340983,5.340983,1
1,247,46.484375,-49.609375,5.447795,0.0,5.447795,5.447795,1
2,180,20.3125,-49.21875,-1.012354,0.0,-1.012354,-1.012354,1
2,182,21.09375,-49.21875,1.201309,0.0,1.201309,1.201309,1
2,189,23.828125,-49.21875,0.854941,0.0,0.854941,0.854941,1
2,206,30.46875,-49.21875,-0.206396,0.0,-0.206396,-0.206396,1
2,213,33.203125,-49.21875,0.832216,0.0,0.832216,0.832216,1
2,214,33.59375,-49.21875,1.451317,0.0,1.451317,1.451317,1
2,218,35.15625,-49.21875,1.169373,0.0,1.169373,1.169373,1
2,226,38.28125,-49.21875,1.323323,0.0,1.323323,1.323323,1
2,228,39.0625,-49.21875,1.520335,0.0,1.520335,1.520335,1
2,231,40.234375,-49.21875,2.501829,0.099342,2.402487,2.601171,2
2,235,41.796875,-49.21875,0.45415,0.0,0.45415,0.45415,1
2,237,42.578125,-49.21875,5.075076,0.0,5.075076,5.075076,1
2,238,42.96875,-49.21875,5.03702,0.0,5.03702,5.03702,1
2,239,43.359375,-49.21875,1.782993,0.142349,1.640644,1.925341,2
2,240,43.75,-49.21875,4.813189,0.16317,4.616673,5.016199,3
2,242,44.53125,-49.21875,4.726808,0.0,4.726808,4.726808,1
2,243,44.921875,-49.21875,4.743789,0.470737,4.362323,5.546822,4
2,245,45.703125,-49.21875,4.818344,0.424621,4.432217,5.525506,4
2,246,46.09375,-49.21875,4.608294,0.0,4.608294,4.608294,1
2,247,46.484375,-49.21875,4.785646,0.102921,4.682725,4.888566,2
2,249,47.265625,-49.21875,4.93648,0.0,4.93648,4.93648,1
3,186,22.65625,-48.828125,0.990642,0.0,0.990642,0.990642,1
3,189,23.828125,-48.828125,0.315858,0.923903,-0.608045,1.239761,2
3,192,25.0,-48.828125,-1.99722,0.0,-1.99722,-1.99722,1
3,193,25.390625,-48.828125,-0.980577,0.12802,-1.108597,-0.852557,2
3,194,25.78125,-48.828125,-0.419415,0.0,-0.419415,-0.419415,1
3,199,27.734375,-48.828125,-3.30583,0.0,-3.30583,-3.30583,1
3,206,30.46875,-48.828125,0.179207,0.214377,-0.035169,0.393584,2
3,207,30.859375,-48.828125,-0.457751,0.0,-0.457751,-0.457751,1
3,208,31.25,-48.828125,-0.190448,0.133101,-0.32355,-0.057347,2
3,213,33.203125,-48.828125,0.066386,0.0,0.066386,0.066386,1
3,216,34.375,-48.828125,-0.080695,0.0,-0.080695,-0.080695,1
3,218,35.15625,-48.828125,-0.847266,0.0,-0.847266,-0.847266,1
3,226,38.28125,-48.828125,-0.819943,0.0,-0.819943,-0.819943,1
3,230,39.84375,-48.828125,0.509101,0.0,0.509101,0.509101,1
3,231,40.234375,-48.828125,0.465513,0.0,0.465513,0.465513,1
3,232,40.625,-48.828125,1.3553,0.191801,1.163499,1.547101,2
3,234,41.40625,-48.828125,2.575111,0.083242,2.47232,2.676199,3
3,237,42.578125,-48.828125,0.708838,1.066739,-0.619681,1.992108,3
3,238,42.96875,-48.828125,1.01857,0.098394,0.920176,1.116964,2
3,240,43.75,-48.828125,5.067178,0.129828,4.885255,5.179614,3
3,242,44.53125,-48.828125,5.077634,0.126911,4.920963,5.231801,3
3,243,44.921875,-48.828125,4.123941,1.434071,1.63266,5.25843,8
3,245,45.703125,-48.828125,4.230849,1.50588,1.630221,5.258359,4
3,246,46.09375,-48.828125,4.891528,0.0,4.891528,4.891528,1
3,247,46.484375,-48.828125,5.156612,0.089068,5.067544,5.245681,2
3,249,47.265625,-48.828125,5.151845,0.026482,5.125363,5.178326,2
3,256,50.0,-48.828125,-0.337243,0.0,-0.337243,-0.337243,1
4,1,-49.609375,-48.4375,4.586371,1.053053,3.533319,5.639424,2
4,2,-49.21875,-48.4375,5.63604,0.0,5.63604,5.63604,1
4,184,21.875,-48.4375,-0.832208,0.0,-0.832208,-0.832208,1
4,186,22.65625,-48.4375,1.305588,0.0,1.305588,1.305588,1
4,188,23.4375,-48.4375,-1.363217,0.0,-1.363217,-1.363217,1
4,189,23.828125,-48.4375,0.674256,0.892332,-0.218077,1.566588,2
4,190,24.21875,-48.4375,0.168695,0.0,0.168695,0.168695,1
4,192,25.0,-48.4375,-1.074191,0.0,-1.074191,-1.074191,1
4,193,25.390625,-48.4375,-0.47927,0.0,-0.47927,-0.47927,1
4,194,25.78125,-48.4375,-1.622943,1.541117,-3.16406,-0.081826,2
4,196,26.5625,-48.4375,-1.298037,0.0,-1.298037,-1.298037,1
4,197,26.953125,-48.4375,-0.618273,0.127688,-0.745961,-0.490584,2
4,198,27.34375,-48.4375,-0.482051,0.127612,-0.609664,-0.354439,2
4,199,27.734375,-48.4375,-0.877438,0.0,-0.877438,-0.877438,1
4,201,28.515625,-48.4375,-2.161824,0.0,-2.161824,-2.161824,1
4,202,28.90625,-48.4375,-0.200565,0.129376,-0.329941,-0.071189,2
4,204,29.6875,-48.4375,0.482542,1.792205,-1.752043,2.635677,3
4,208,31.25,-48.4375,-1.478895,1.300094,-2.734301,0.312137,3
4,210,32.03125,-48.4375,-0.404948,0.132868,-0.537815,-0.27208,2
4,212,32.8125,-48.4375,-0.277423,0.0,-0.277423,-0.277423,1
4,214,33.59375,-48.4375,-2.771432,1.987494,-4.758926,-0.783938,2
4,218,35.15625,-48.4375,0.725833,0.868218,-0.142385,1.594051,2
4,221,36.328125,-48.4375,-0.973962,0.0,-0.973962,-0.973962,1
4,222,36.71875,-48.4375,1.737387,0.0,1.737387,1.737387,1
4,223,37.109375,-48.4375,0.986759,0.252642,0.688504,1.306255,3
4,227,38.671875,-48.4375,0.684121,0.0,0.684121,0.684121,1
4,228,39.0625,-48.4375,1.96266,0.0,1.96266,1.96266,1
4,231,40.234375,-48.4375,-0.450436,2.064984,-3.366168,1.149277,3
4,232,40.625,-48.4375,1.184103,1.30366,-0.680073,2.995841,4
4,233,41.015625,-48.4375,-1.51343,0.0,-1.51343,-1.51343,1
4,234,41.40625,-48.4375,2.989698,0.0,2.989698,2.989698,1
4,235,41.796875,-48.4375,0.679411,1.130033,-1.528522,1.627636,5
4,237,42.578125,-48.4375,2.339058,0.0,2.339058,2.339058,1
4,238,42.96875,-48.4375,-1.083875,2.190296,-3.897078,0.822864,5
