frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,21.125,3.635,35685,909,11,4,3
2,21.2,2.356,35685,907,11,4,3
3,21.3,2.482,35685,911,11,4,3
4,21.4,2.209,35685,906,11,4,3
5,21.5,2.243,35685,900,11,4,3
6,21.6,2.604,35685,905,11,4,3
7,21.7,2.372,35685,909,11,4,3
8,21.8,2.166,35685,907,11,4,3
9,21.9,2.285,35685,909,11,4,3
10,22.0,2.276,35685,908,11,4,3
11,22.1,2.259,35685,904,11,4,3
12,22.2,2.42,35685,906,11,4,3
13,22.3,2.239,35685,905,11,4,3
14,22.4,2.911,35685,910,11,4,3
15,22.5,2.377,35685,913,11,4,3
16,22.6,2.505,35685,910,11,4,3
17,22.7,2.441,35685,908,11,4,3
18,22.8,2.242,35685,904,11,4,3
19,22.9,2.357,35685,903,11,4,3
20,23.0,2.258,35685,913,11,4,3
21,23.1,2.106,35685,907,11,4,3
22,23.2,2.301,35685,914,11,4,3
23,23.3,2.345,35685,908,11,4,3
24,23.4,2.307,35685,910,11,4,3
25,23.5,2.386,35685,912,11,4,3
26,23.6,2.352,35685,909,11,4,3
27,23.7,2.162,35685,910,11,4,3
28,23.8,2.363,35685,906,11,4,3
29,23.9,2.272,35685,908,11,4,3
30,24.0,2.431,35685,910,11,4,3
31,24.1,2.815,35685,906,11,4,3
32,24.2,2.278,35685,904,11,4,3
33,24.3,2.253,35685,908,11,4,3
34,24.4,2.255,35685,908,11,4,3
35,24.5,2.358,35685,912,11,4,3
36,24.6,2.281,35685,902,11,4,3
37,24.7,2.512,35685,904,11,4,3
38,24.8,2.394,35685,911,11,4,3
39,24.9,2.086,35685,912,11,4,3
40,25.0,2.346,35685,909,11,4,3
41,25.1,2.269,35685,907,11,4,3
42,25.2,2.379,35685,915,11,4,3
43,25.3,2.397,35685,901,11,4,3
44,25.4,2.566,35685,913,11,4,3
45,25.5,2.461,35685,909,11,4,3
46,25.6,2.441,35685,907,11,4,3
47,25.7,2.439,35685,908,11,4,3
48,25.8,2.432,35685,910,11,4,3
49,25.9,2.86,35685,907,11,4,3
50,26.0,2.362,35685,907,11,4,3
51,26.1,2.49,35685,914,11,4,3
52,26.2,2.517,35685,902,11,4,3
53,26.3,3.143,35685,907,11,4,3
54,26.4,2.831,35685,906,11,4,3
55,26.5,2.416,35685,915,11,4,3
56,26.6,2.835,35685,907,11,4,3
57,26.7,2.526,35685,904,11,4,3
58,26.8,2.436,35685,907,11,4,3
59,26.9,2.517,35685,907,11,4,3
60,27.0,2.316,35685,903,11,4,3
61,27.1,2.977,35685,905,11,4,3
62,27.2,2.292,35685,902,11,4,3
